id,question,answer,category,language
1,"Pourquoi je ne peux pas me connecter à mon compte ?","Vérifiez votre connexion Internet et assurez-vous que vos identifiants sont corrects.","Problème de connexion","fr"
2,"Que faire si j'ai oublié mon mot de passe ?","Utilisez la fonctionnalité 'Mot de passe oublié' pour réinitialiser votre mot de passe.","Problème de connexion","fr"
3,"Pourquoi mon compte est-il bloqué ?","Votre compte peut être bloqué après plusieurs tentatives de connexion échouées. Contactez le support.","Problème de connexion","fr"
4,"Comment changer mon adresse email de connexion ?","Allez dans les paramètres du compte et mettez à jour votre adresse email.","Problème de connexion","fr"
5,"Pourquoi je ne reçois pas le code de vérification ?","Vérifiez votre dossier spam ou attendez quelques minutes avant de réessayer.","Problème de connexion","fr"
6,"Que faire si l'application ne reconnaît pas mes identifiants ?","Assurez-vous que vous utilisez la bonne version de l'application et que vos identifiants sont corrects.","Problème de connexion","fr"
7,"Pourquoi l'application se ferme-t-elle lors de la connexion ?","Essayez de redémarrer l'application ou de réinstaller la dernière version.","Problème de connexion","fr"
8,"Comment mettre à jour mes informations de connexion ?","Accédez à votre profil utilisateur et mettez à jour vos informations.","Problème de connexion","fr"
9,"Pourquoi je ne peux pas accéder à mon compte après une mise à jour ?","Essayez de vous déconnecter et de vous reconnecter ou contactez le support.","Problème de connexion","fr"
10,"Que faire si mon compte a été piraté ?","Changez immédiatement votre mot de passe et contactez le support.","Problème de connexion","fr"
11,"Pourquoi je ne reçois pas l'email de réinitialisation de mot de passe ?","Vérifiez votre dossier spam ou attendez quelques minutes. Si le problème persiste, contactez le support.","Problème de connexion","fr"
12,"Que faire si l'application affiche 'Compte introuvable' ?","Assurez-vous que vous utilisez le bon email ou nom d'utilisateur. Si nécessaire, créez un nouveau compte.","Problème de connexion","fr"
13,"Pourquoi l'application me redirige vers une page blanche après la connexion ?","Cela peut être dû à un problème de cache. Essayez de vider le cache de l'application ou de la réinstaller.","Problème de connexion","fr"
14,"Comment vérifier si mon compte est actif ?","Contactez le support technique avec votre email ou nom d'utilisateur pour vérifier l'état de votre compte.","Problème de connexion","fr"
